,neucose_id,sub_id
sub-01,NEUCOSE_ELSES07842,EH070
sub-02,NEUCOSE_LECPA07862,LP087
sub-03,NEUCOSE_HARMA07939,HM076
sub-04,NEUCOSE_BUEAL07925,BA043
sub-05,NEUCOSE_BLUAL07960,BA093
sub-06,NEUCOSE_MANPA07927,MP091
sub-07,NEUCOSE_BETLO07962,BL067
sub-08,NEUCOSE_MAUGI07290,GM021
sub-09,NEUCOSE_NICJU06244,NJ029
sub-10,NEUCOSE_BOLCL07876,BC082
sub-11,NEUCOSE_GANPI08027,GP100
sub-12,NEUCOSE_FEYVA07961,FV064
sub-13,NEUCOSE_GASNA07853,GN052
sub-14,NEUCOSE_PETVE07999,PV046
sub-15,NEUCOSE_VERJU08003,VJ089
sub-16,NEUCOSE_LUNAN07942,LA060
sub-17,NEUCOSE_PEYMA07865,PM024
sub-18,NEUCOSE_LARDE07926,LD094
sub-19,NEUCOSE_BIAFR07234,BF073
sub-20,NEUCOSE_BUEOS07989,BO038
sub-21,NEUCOSE_SPRCE07854,CS025
sub-22,NEUCOSE_FARMI07951,FM085
sub-23,NEUCOSE_MONAL07998,MA041
sub-24,NEUROCSE_ADOBE07864,AB102
sub-25,NEUCOSE_AARKR06757,KA001
sub-26,NEUCOSE_RODJO08030,RJ086
sub-27,NEUCOSE_CAMFA08095,CF081
sub-28,NEUCOSE_ESQCH08073,EC084
sub-29,NEUCOSE_HOYRO06133,HR034
sub-30,NEUCOSE_COMTH07661,CT062
sub-31,NEUCOSE_DUPMU07953,DM101
sub-32,NEUCOSE_SALRA07868,SR044
sub-33,NEUCOSE_CREJU07988,JC014
sub-34,NEUCOSE_ANSVA07950,AV007
sub-35,NEUCOSE_PLAJA02876,PJ051
sub-36,NEUCOSE_CHAET07954,CE056
sub-37,NEUCOSE_MARGA07877,MG078
sub-38,NEUCOSE_SENCL07867,SC050
sub-39,NEUCOSE_BUCRO07986,BR096
sub-40,NEUCOSE_VASAU07841,AV005
